Pri_dMass,Age,Pri_ProtInitial,Pri_ProtAge,Pri_ProtFinal
0.247697,5612054929.197218,2.40994,43.101533,51.137191
0.256616,3387673085.7824497,9.05305,33.398394,55.642275
0.757376,5263414994.235755,4.41159,43.538297,50.735871
0.664967,3922885118.737315,11.5895,42.891472,57.899402
0.408455,5551696381.73166,10.1969,51.517925,58.819905
0.284554,4218485205.5624766,2.50074,35.168551,52.779269
0.256235,2657157282.997251,5.52874,24.036219,54.124957
0.949976,5166982255.256951,13.7416,35.19501,42.018438
0.265645,6104759331.421901,12.9224,52.299783,57.046951
0.792389,1758148234.3504815,10.9675,23.970327,49.323041
0.667061,1618252982.4601238,0.865323,19.311335,54.877419
0.621064,4706382821.362997,4.27147,48.003972,59.67416
0.518808,3722502178.7105265,3.52507,41.328863,60.666609
0.197279,4826999474.536203,3.33166,37.646032,50.499226
0.225272,5368444185.025201,6.92989,44.757384,53.65843
0.438811,1125739476.075643,2.49304,5.107139,56.979552
0.477555,4547890682.346092,13.6645,49.09269,62.210541
0.233869,6431920707.807521,14.0481,53.143724,56.102327
0.837012,4634283620.05808,2.77984,36.95107,46.152956
0.621048,1233237919.5833862,2.16579,16.691003,58.798073
0.468576,6839922945.952351,1.81414,56.878327,57.815859
0.992205,5940855396.121207,8.34495,35.244621,39.444932
0.815653,4298000736.936796,3.96384,36.511302,47.433928
0.562503,2924697153.5880237,1.44802,33.663455,59.578204
0.592531,6863449049.646768,13.6301,61.812604,62.421161
0.204619,4400886253.041475,6.95872,38.427323,53.31975
0.518667,6756213622.436369,0.928524,56.903687,58.258752
0.892636,4479386647.380306,1.1358,33.805142,43.355984
0.362106,5206640852.118874,2.79883,44.628589,54.636365
0.404549,2349165003.5564523,3.36912,24.447348,56.143161
0.959872,1568987495.7369342,3.76827,17.89284,40.898178
0.959364,4653724302.662977,10.6287,32.733438,41.344403
0.768764,2342570122.8461304,3.06262,26.889551,49.733891
0.332781,2565879824.499624,7.79008,28.065662,56.961898
0.398927,4354326830.7917385,9.77253,44.182292,58.448813
0.497964,4614087774.168301,4.71411,47.491778,60.787201
0.495241,5713898687.33776,0.908636,50.296028,57.556978
0.230718,2120572212.2558048,1.51281,4.584746,48.876222
0.59412,2988284127.4105067,3.49372,36.707129,60.478169
0.506347,4899966665.106722,1.61683,47.016629,58.982727
0.346077,1546566199.7407384,4.73714,12.002368,55.774107
0.431108,6732340870.32567,14.2948,59.080883,60.405744
0.824972,5420282357.175138,8.20605,41.5054,47.437751
0.564913,2298500477.3032513,2.65988,29.729828,60.523481
0.294946,4829653908.527061,10.5463,45.322021,57.319791
0.666696,3112516302.1858406,1.42898,34.201967,55.46225
0.782951,3296762078.9006677,8.56933,33.501144,49.676262
0.315195,5514161973.749708,3.68316,46.33725,54.670474
0.978012,1510134339.5750813,2.85852,16.811817,39.75401
0.933077,6408236447.203507,2.39467,39.854238,42.231927
0.894004,3937928368.4139094,1.79799,31.738694,43.544067
0.518412,5708313155.763219,2.24723,52.876871,59.856135
0.775945,1182470548.652691,1.7202,15.623215,48.867128
0.852053,5989768335.953673,2.2978,41.696271,45.338881
0.918971,5882357486.807551,1.97997,38.495464,42.802807
0.398384,4691622559.388832,1.00905,39.212929,53.021073
0.86128,1970940734.7656102,4.35447,22.782083,45.297726
0.487221,2673712265.217367,1.3991,28.454123,58.113249
0.674171,3798991644.7836914,5.90744,40.630319,56.49403
0.872209,4473793005.98834,6.25459,35.604272,45.030286
0.209021,3002821546.541644,4.45065,24.34265,51.913021
0.616792,3515617455.187979,1.16789,38.14141,58.191318
0.655239,3448600555.5683203,2.49093,37.924468,56.868965
0.541112,2279677588.804611,2.61008,28.854433,60.441382
0.832447,6669888233.521191,4.10059,45.442677,46.61684
0.371065,5087967162.2286005,3.81875,44.982108,55.59067
0.272232,4327548877.403251,3.81366,37.37657,53.621183
0.27356,3574170008.182736,3.20666,30.501599,53.140076
0.134189,1718310233.1078773,14.8997,11.621201,54.647783
0.707361,4434912200.225639,0.935517,40.312398,52.517909
0.652879,1809616995.8705304,1.11087,22.383074,56.086662
0.458303,3728385806.5829687,1.94688,37.410267,57.449832
0.109173,2717459337.260121,3.13871,5.844272,47.433687
0.361388,2697598602.052309,0.8911,18.106165,51.57459
0.872774,1685571850.4203765,5.56919,20.931567,44.943475
0.566677,3153943215.053152,14.4552,41.152195,63.081478
0.213977,5601958612.380784,3.61913,43.450348,51.30673
0.812975,6916855689.06975,0.820203,46.211722,46.503002
0.464347,2131437836.648543,11.3754,30.32799,61.354255
0.432608,4357279598.550369,9.03159,45.204222,59.483204
0.151088,6455551923.684933,10.4759,50.970245,53.721418
0.755073,2757199238.1150126,0.811588,28.285871,49.490898
0.161518,1236874114.5635202,2.55283,1.27043,48.750243
0.49878,5113326032.129292,1.8414,48.52279,59.032763
0.566853,2373426314.1964846,1.06543,27.550616,59.092675
0.148189,4814250690.622841,2.9009,34.523218,48.820503
0.398628,4181303359.6142273,1.22192,36.26355,53.503579
0.427395,6290915708.922579,1.58567,51.53852,55.38993
0.591784,3606955269.9802513,1.40278,39.374708,59.237348
0.148784,6758326234.583362,12.8647,53.242248,54.411614
0.533166,6399996718.467254,4.11509,58.081618,61.130601
0.12163,1528092090.1119838,2.09588,1.080232,46.14436
0.721723,3351312835.698841,14.8595,37.177018,54.193273
0.726486,6166746450.189856,9.68822,50.077365,53.485229
0.194373,4359705765.975141,3.07794,33.458127,49.885255
0.587851,6208745269.394407,10.2314,58.374951,62.158991
0.108269,4463426741.695686,2.4148,25.391643,45.997786
0.160802,4822498947.99492,10.5029,41.26364,53.845195
0.556514,4236263857.828828,2.82782,45.10138,60.639366
0.718019,4584911354.204745,9.06337,43.28174,54.003314
0.635737,3229868566.187782,7.99484,39.207659,59.57399
0.33616,2889444476.153484,13.7717,33.5511,58.49045
0.653224,5742297810.736692,6.8377,52.34457,58.171817
0.164758,5382270985.076486,5.56506,42.249328,51.722604
0.573365,3354278640.355877,8.39541,41.487962,62.177482
