# BHAC15 tracks for low mass stars (0.07 Msun to 1.4 Msun)
#
# L/Ls: log L/Lsun
# g: log g
# R/Rs : R/Rsun
# Li/Li0: ratio of surface lithium abundance to initial abundance
#
#------------------------------------------------------------
# M/Ms    log t(yr)  Teff      L/Ls    g    R/Rs   Li/Li0
#------------------------------------------------------------
 0.070     5.693     2834.   -1.324  3.369  0.905  1.000  
 0.070     5.702     2835.   -1.327  3.374  0.900  1.000  
 0.070     5.711     2837.   -1.331  3.379  0.895  1.000  
 0.070     5.720     2839.   -1.335  3.384  0.890  1.000  
 0.070     5.730     2841.   -1.338  3.388  0.885  1.000  
 0.070     5.748     2844.   -1.346  3.398  0.876  1.000  
 0.070     5.757     2846.   -1.349  3.403  0.871  1.000  
 0.070     5.767     2848.   -1.353  3.407  0.866  1.000  
 0.070     5.776     2850.   -1.356  3.412  0.862  1.000  
 0.070     5.785     2852.   -1.360  3.417  0.857  1.000  
 0.070     5.795     2854.   -1.363  3.421  0.853  1.000  
 0.070     5.805     2856.   -1.366  3.426  0.848  1.000  
 0.070     5.815     2858.   -1.370  3.430  0.843  1.000  
 0.070     5.824     2861.   -1.373  3.435  0.839  1.000  
 0.070     5.835     2863.   -1.376  3.440  0.835  1.000  
 0.070     5.845     2865.   -1.379  3.444  0.830  1.000  
 0.070     5.856     2868.   -1.382  3.449  0.826  1.000  
 0.070     5.866     2870.   -1.385  3.453  0.822  1.000  
 0.070     5.878     2872.   -1.388  3.458  0.817  1.000  
 0.070     5.889     2875.   -1.391  3.462  0.813  1.000  
 0.070     5.901     2878.   -1.394  3.467  0.809  1.000  
 0.070     5.914     2880.   -1.397  3.471  0.805  1.000  
 0.070     5.926     2883.   -1.400  3.475  0.801  1.000  
 0.070     5.938     2885.   -1.402  3.479  0.797  1.000  
 0.070     5.950     2887.   -1.404  3.483  0.794  1.000  
 0.070     5.961     2890.   -1.406  3.486  0.791  1.000  
 0.070     5.973     2892.   -1.408  3.489  0.788  1.000  
 0.070     5.984     2893.   -1.410  3.492  0.786  1.000  
 0.070     5.995     2895.   -1.411  3.494  0.784  1.000  
 0.070     6.006     2897.   -1.413  3.497  0.781  1.000  
 0.070     6.016     2899.   -1.414  3.499  0.779  1.000  
 0.070     6.027     2899.   -1.415  3.501  0.778  1.000  
 0.070     6.037     2899.   -1.417  3.503  0.776  1.000  
 0.070     6.049     2900.   -1.419  3.505  0.774  1.000  
 0.070     6.063     2900.   -1.421  3.507  0.772  1.000  
 0.070     6.079     2900.   -1.423  3.510  0.770  1.000  
 0.070     6.097     2900.   -1.426  3.512  0.768  1.000  
 0.070     6.119     2900.   -1.428  3.515  0.766  1.000  
 0.070     6.139     2901.   -1.430  3.517  0.764  1.000  
 0.070     6.157     2901.   -1.433  3.519  0.762  1.000  
 0.070     6.174     2901.   -1.434  3.521  0.760  1.000  
 0.070     6.190     2901.   -1.436  3.523  0.758  1.000  
 0.070     6.205     2901.   -1.438  3.525  0.757  1.000  
 0.070     6.219     2901.   -1.440  3.527  0.755  1.000  
 0.070     6.232     2901.   -1.442  3.528  0.753  1.000  
 0.070     6.245     2901.   -1.443  3.530  0.752  1.000  
 0.070     6.256     2902.   -1.445  3.532  0.750  1.000  
 0.070     6.268     2902.   -1.447  3.534  0.749  1.000  
 0.070     6.278     2902.   -1.448  3.535  0.747  1.000  
 0.070     6.288     2902.   -1.450  3.537  0.746  1.000  
 0.070     6.298     2902.   -1.452  3.539  0.745  1.000  
 0.070     6.307     2902.   -1.453  3.541  0.743  1.000  
 0.070     6.315     2902.   -1.455  3.542  0.742  1.000  
 0.070     6.324     2902.   -1.457  3.544  0.740  1.000  
 0.070     6.332     2902.   -1.458  3.546  0.739  1.000  
 0.070     6.339     2903.   -1.460  3.547  0.737  1.000  
 0.070     6.346     2903.   -1.461  3.549  0.736  1.000  
 0.070     6.353     2903.   -1.463  3.551  0.735  1.000  
 0.070     6.360     2903.   -1.465  3.552  0.733  1.000  
 0.070     6.366     2903.   -1.466  3.554  0.732  1.000  
 0.070     6.372     2903.   -1.468  3.556  0.730  1.000  
 0.070     6.378     2903.   -1.469  3.557  0.729  1.000  
 0.070     6.384     2903.   -1.471  3.559  0.728  1.000  
 0.070     6.389     2903.   -1.472  3.560  0.726  1.000  
 0.070     6.395     2904.   -1.474  3.562  0.725  1.000  
 0.070     6.400     2904.   -1.475  3.564  0.724  1.000  
 0.070     6.405     2904.   -1.477  3.565  0.722  1.000  
 0.070     6.409     2904.   -1.479  3.567  0.721  1.000  
 0.070     6.414     2904.   -1.480  3.568  0.720  1.000  
 0.070     6.418     2904.   -1.482  3.570  0.718  1.000  
 0.070     6.422     2904.   -1.483  3.572  0.717  1.000  
 0.070     6.426     2904.   -1.485  3.573  0.716  1.000  
 0.070     6.430     2904.   -1.486  3.575  0.715  1.000  
 0.070     6.434     2904.   -1.488  3.576  0.713  1.000  
 0.070     6.438     2904.   -1.489  3.578  0.712  1.000  
 0.070     6.441     2905.   -1.490  3.579  0.711  1.000  
 0.070     6.451     2905.   -1.495  3.584  0.707  1.000  
 0.070     6.461     2905.   -1.499  3.588  0.703  1.000  
 0.070     6.472     2905.   -1.505  3.594  0.699  1.000  
 0.070     6.481     2906.   -1.510  3.600  0.694  1.000  
 0.070     6.490     2906.   -1.515  3.605  0.690  1.000  
 0.070     6.500     2907.   -1.522  3.612  0.685  1.000  
 0.070     6.510     2907.   -1.529  3.620  0.679  1.000  
 0.070     6.520     2908.   -1.537  3.628  0.672  1.000  
 0.070     6.530     2908.   -1.546  3.637  0.665  1.000  
 0.070     6.539     2909.   -1.556  3.647  0.658  1.000  
 0.070     6.549     2910.   -1.567  3.658  0.649  1.000  
 0.070     6.559     2910.   -1.578  3.671  0.640  1.000  
 0.070     6.569     2911.   -1.592  3.685  0.629  1.000  
 0.070     6.579     2912.   -1.606  3.699  0.619  1.000  
 0.070     6.589     2913.   -1.620  3.714  0.609  1.000  
 0.070     6.600     2914.   -1.636  3.731  0.597  1.000  
 0.070     6.611     2915.   -1.651  3.746  0.587  1.000  
 0.070     6.620     2916.   -1.664  3.760  0.577  1.000  
 0.070     6.630     2917.   -1.677  3.774  0.568  1.000  
 0.070     6.640     2919.   -1.690  3.788  0.559  1.000  
 0.070     6.650     2920.   -1.703  3.801  0.550  1.000  
 0.070     6.660     2922.   -1.716  3.815  0.542  1.000  
 0.070     6.671     2923.   -1.729  3.829  0.533  1.000  
 0.070     6.682     2925.   -1.742  3.843  0.525  1.000  
 0.070     6.689     2926.   -1.751  3.852  0.519  1.000  
 0.070     6.700     2928.   -1.764  3.866  0.511  1.000  
 0.070     6.712     2930.   -1.776  3.880  0.503  1.000  
 0.070     6.719     2931.   -1.785  3.889  0.497  1.000  
 0.070     6.731     2933.   -1.798  3.903  0.489  1.000  
 0.070     6.739     2935.   -1.806  3.913  0.484  1.000  
 0.070     6.751     2937.   -1.819  3.927  0.476  1.000  
 0.070     6.760     2938.   -1.827  3.936  0.471  1.000  
 0.070     6.772     2940.   -1.840  3.950  0.464  1.000  
 0.070     6.781     2942.   -1.848  3.959  0.459  1.000  
 0.070     6.789     2943.   -1.857  3.968  0.454  1.000  
 0.070     6.802     2945.   -1.869  3.982  0.447  1.000  
 0.070     6.811     2947.   -1.878  3.992  0.442  1.000  
 0.070     6.820     2948.   -1.886  4.001  0.437  1.000  
 0.070     6.833     2948.   -1.900  4.015  0.430  1.000  
 0.070     6.842     2948.   -1.909  4.024  0.426  1.000  
 0.070     6.851     2948.   -1.919  4.033  0.421  1.000  
 0.070     6.860     2948.   -1.928  4.042  0.417  1.000  
 0.070     6.870     2948.   -1.937  4.052  0.413  1.000  
 0.070     6.884     2948.   -1.951  4.065  0.406  1.000  
 0.070     6.893     2948.   -1.960  4.075  0.402  1.000  
 0.070     6.903     2948.   -1.969  4.084  0.398  1.000  
 0.070     6.912     2948.   -1.979  4.093  0.393  1.000  
 0.070     6.922     2947.   -1.988  4.102  0.389  1.000  
 0.070     6.932     2947.   -1.997  4.111  0.385  1.000  
 0.070     6.942     2947.   -2.006  4.120  0.381  1.000  
 0.070     6.952     2947.   -2.016  4.129  0.377  1.000  
 0.070     6.962     2947.   -2.025  4.139  0.373  1.000  
 0.070     6.972     2946.   -2.034  4.148  0.369  1.000  
 0.070     6.982     2946.   -2.043  4.157  0.366  1.000  
 0.070     6.992     2946.   -2.053  4.166  0.362  1.000  
 0.070     7.003     2946.   -2.062  4.175  0.358  1.000  
 0.070     7.013     2946.   -2.071  4.184  0.354  1.000  
 0.070     7.024     2945.   -2.080  4.193  0.350  1.000  
 0.070     7.029     2945.   -2.085  4.198  0.349  1.000  
 0.070     7.040     2945.   -2.094  4.207  0.345  1.000  
 0.070     7.051     2945.   -2.104  4.216  0.341  1.000  
 0.070     7.061     2945.   -2.113  4.225  0.338  1.000  
 0.070     7.072     2945.   -2.122  4.235  0.334  1.000  
 0.070     7.083     2945.   -2.131  4.244  0.331  1.000  
 0.070     7.094     2944.   -2.141  4.253  0.327  1.000  
 0.070     7.100     2944.   -2.145  4.258  0.325  1.000  
 0.070     7.111     2944.   -2.154  4.267  0.322  1.000  
 0.070     7.122     2944.   -2.164  4.276  0.319  1.000  
 0.070     7.133     2944.   -2.173  4.285  0.315  1.000  
 0.070     7.139     2944.   -2.178  4.290  0.314  1.000  
 0.070     7.150     2944.   -2.187  4.299  0.310  1.000  
 0.070     7.162     2944.   -2.196  4.308  0.307  1.000  
 0.070     7.173     2943.   -2.205  4.317  0.304  1.000  
 0.070     7.185     2943.   -2.215  4.326  0.301  1.000  
 0.070     7.190     2943.   -2.219  4.331  0.299  1.000  
 0.070     7.202     2943.   -2.228  4.340  0.296  1.000  
 0.070     7.214     2942.   -2.238  4.349  0.293  1.000  
 0.070     7.219     2942.   -2.242  4.354  0.291  1.000  
 0.070     7.231     2942.   -2.252  4.363  0.288  1.000  
 0.070     7.243     2942.   -2.261  4.372  0.285  1.000  
 0.070     7.255     2941.   -2.270  4.381  0.282  1.000  
 0.070     7.261     2941.   -2.275  4.386  0.281  1.000  
 0.070     7.272     2941.   -2.284  4.395  0.278  1.000  
 0.070     7.284     2940.   -2.294  4.404  0.275  1.000  
 0.070     7.290     2940.   -2.298  4.408  0.274  1.000  
 0.070     7.302     2940.   -2.308  4.417  0.271  1.000  
 0.070     7.314     2939.   -2.317  4.426  0.268  1.000  
 0.070     7.320     2939.   -2.322  4.431  0.267  1.000  
 0.070     7.332     2938.   -2.331  4.440  0.264  1.000  
 0.070     7.344     2938.   -2.341  4.449  0.261  1.000  
 0.070     7.351     2938.   -2.345  4.454  0.260  1.000  
 0.070     7.363     2937.   -2.355  4.463  0.257  1.000  
 0.070     7.375     2936.   -2.364  4.472  0.254  1.000  
 0.070     7.381     2936.   -2.369  4.476  0.253  1.000  
 0.070     7.394     2935.   -2.378  4.485  0.250  1.000  
 0.070     7.400     2935.   -2.383  4.490  0.249  1.000  
 0.070     7.412     2934.   -2.392  4.499  0.247  1.000  
 0.070     7.425     2933.   -2.402  4.508  0.244  1.000  
 0.070     7.431     2932.   -2.408  4.513  0.243  1.000  
 0.070     7.443     2930.   -2.418  4.522  0.240  1.000  
 0.070     7.450     2929.   -2.423  4.526  0.239  1.000  
 0.070     7.462     2928.   -2.433  4.535  0.236  1.000  
 0.070     7.475     2926.   -2.443  4.544  0.234  1.000  
 0.070     7.481     2925.   -2.448  4.549  0.233  1.000  
 0.070     7.494     2923.   -2.458  4.558  0.230  1.000  
 0.070     7.500     2922.   -2.463  4.562  0.229  1.000  
 0.070     7.513     2920.   -2.474  4.571  0.227  1.000  
 0.070     7.520     2919.   -2.479  4.576  0.226  1.000  
 0.070     7.533     2917.   -2.489  4.585  0.223  1.000  
 0.070     7.539     2916.   -2.494  4.589  0.222  1.000  
 0.070     7.552     2913.   -2.504  4.598  0.220  0.999  
 0.070     7.565     2911.   -2.515  4.607  0.218  0.999  
 0.070     7.572     2910.   -2.520  4.612  0.216  0.999  
 0.070     7.585     2908.   -2.530  4.621  0.214  0.999  
 0.070     7.591     2906.   -2.535  4.625  0.213  0.999  
 0.070     7.604     2904.   -2.546  4.634  0.211  0.999  
 0.070     7.611     2903.   -2.551  4.639  0.210  0.998  
 0.070     7.624     2900.   -2.562  4.648  0.208  0.998  
 0.070     7.631     2899.   -2.567  4.652  0.207  0.998  
 0.070     7.644     2896.   -2.578  4.661  0.205  0.997  
 0.070     7.651     2894.   -2.583  4.666  0.203  0.997  
 0.070     7.664     2892.   -2.594  4.674  0.201  0.996  
 0.070     7.671     2890.   -2.599  4.679  0.200  0.995  
 0.070     7.685     2887.   -2.610  4.688  0.198  0.994  
 0.070     7.691     2886.   -2.615  4.692  0.197  0.994  
 0.070     7.705     2882.   -2.626  4.701  0.195  0.992  
 0.070     7.712     2881.   -2.631  4.706  0.194  0.991  
 0.070     7.725     2878.   -2.642  4.715  0.192  0.989  
 0.070     7.732     2876.   -2.648  4.719  0.191  0.988  
 0.070     7.739     2874.   -2.653  4.724  0.190  0.986  
 0.070     7.753     2871.   -2.664  4.733  0.188  0.983  
 0.070     7.760     2870.   -2.669  4.737  0.187  0.981  
 0.070     7.774     2866.   -2.680  4.746  0.185  0.977  
 0.070     7.781     2864.   -2.686  4.750  0.185  0.975  
 0.070     7.795     2861.   -2.697  4.759  0.183  0.969  
 0.070     7.802     2859.   -2.703  4.764  0.182  0.965  
 0.070     7.815     2855.   -2.714  4.773  0.180  0.958  
 0.070     7.823     2853.   -2.719  4.777  0.179  0.953  
 0.070     7.830     2851.   -2.725  4.782  0.178  0.949  
 0.070     7.844     2847.   -2.736  4.791  0.176  0.938  
 0.070     7.851     2845.   -2.742  4.795  0.175  0.931  
 0.070     7.863     2842.   -2.752  4.803  0.174  0.919  
 0.070     7.869     2840.   -2.757  4.807  0.173  0.912  
 0.070     7.879     2837.   -2.765  4.813  0.172  0.900  
 0.070     7.892     2833.   -2.776  4.821  0.170  0.882  
 0.070     7.900     2830.   -2.782  4.826  0.169  0.870  
 0.070     7.910     2827.   -2.790  4.832  0.168  0.852  
 0.070     7.922     2823.   -2.800  4.839  0.167  0.828  
 0.070     7.929     2821.   -2.806  4.844  0.166  0.811  
 0.070     7.941     2817.   -2.816  4.851  0.164  0.784  
 0.070     7.949     2814.   -2.823  4.856  0.163  0.762  
 0.070     7.960     2810.   -2.832  4.863  0.162  0.731  
 0.070     7.970     2807.   -2.840  4.869  0.161  0.701  
 0.070     7.979     2803.   -2.848  4.875  0.160  0.667  
 0.070     7.990     2799.   -2.857  4.881  0.159  0.631  
 0.070     8.000     2794.   -2.866  4.887  0.158  0.592  
 0.070     8.010     2790.   -2.875  4.893  0.157  0.551  
 0.070     8.019     2785.   -2.883  4.899  0.156  0.509  
 0.070     8.030     2780.   -2.893  4.905  0.154  0.464  
 0.070     8.039     2776.   -2.901  4.911  0.153  0.420  
 0.070     8.050     2771.   -2.910  4.917  0.152  0.374  
 0.070     8.059     2766.   -2.919  4.923  0.151  0.331  
 0.070     8.069     2762.   -2.928  4.929  0.150  0.286  
 0.070     8.079     2757.   -2.937  4.935  0.149  0.244  
 0.070     8.089     2752.   -2.945  4.940  0.148  0.204  
 0.070     8.099     2748.   -2.954  4.946  0.147  0.167  
 0.070     8.109     2743.   -2.963  4.952  0.146  0.134  
 0.070     8.119     2738.   -2.972  4.958  0.145  0.105  
 0.070     8.129     2733.   -2.980  4.963  0.144  0.080  
 0.070     8.139     2728.   -2.989  4.969  0.143  0.059  
 0.070     8.149     2723.   -2.998  4.975  0.143  0.042  
 0.070     8.159     2719.   -3.007  4.981  0.142  0.029  
 0.070     8.169     2714.   -3.016  4.986  0.141  0.019  
 0.070     8.179     2709.   -3.025  4.992  0.140  0.012  
 0.070     8.189     2704.   -3.033  4.998  0.139  0.007  
 0.070     8.199     2698.   -3.042  5.003  0.138  0.004  
 0.070     8.209     2693.   -3.051  5.009  0.137  0.002  
 0.070     8.219     2687.   -3.061  5.014  0.136  0.001  
 0.070     8.229     2682.   -3.070  5.020  0.135  0.001  
 0.070     8.239     2676.   -3.079  5.025  0.135  0.000  
 0.070     8.249     2670.   -3.088  5.031  0.134  0.000  
 0.070     8.259     2664.   -3.097  5.036  0.133  0.000  
 0.070     8.271     2657.   -3.108  5.042  0.132  0.000  
 0.070     8.280     2652.   -3.117  5.048  0.131  0.000  
 0.070     8.294     2644.   -3.129  5.055  0.130  0.000  
 0.070     8.302     2639.   -3.136  5.059  0.129  0.000  
 0.070     8.309     2635.   -3.143  5.063  0.129  0.000  
 0.070     8.325     2625.   -3.158  5.071  0.128  0.000  
 0.070     8.333     2621.   -3.165  5.075  0.127  0.000  
 0.070     8.341     2616.   -3.172  5.079  0.126  0.000  
 0.070     8.356     2606.   -3.187  5.087  0.125  0.000  
 0.070     8.364     2601.   -3.194  5.091  0.125  0.000  
 0.070     8.372     2596.   -3.201  5.095  0.124  0.000  
 0.070     8.380     2591.   -3.209  5.099  0.124  0.000  
 0.070     8.396     2579.   -3.225  5.107  0.122  0.000  
 0.070     8.405     2574.   -3.233  5.111  0.122  0.000  
 0.070     8.413     2568.   -3.240  5.115  0.121  0.000  
 0.070     8.421     2562.   -3.248  5.119  0.121  0.000  
 0.070     8.429     2556.   -3.257  5.123  0.120  0.000  
 0.070     8.446     2544.   -3.273  5.131  0.119  0.000  
 0.070     8.454     2538.   -3.281  5.135  0.118  0.000  
 0.070     8.463     2532.   -3.289  5.139  0.118  0.000  
 0.070     8.471     2525.   -3.298  5.143  0.117  0.000  
 0.070     8.480     2519.   -3.306  5.147  0.117  0.000  
 0.070     8.497     2506.   -3.323  5.155  0.116  0.000  
 0.070     8.506     2499.   -3.332  5.159  0.115  0.000  
 0.070     8.515     2492.   -3.341  5.163  0.115  0.000  
 0.070     8.523     2485.   -3.349  5.167  0.114  0.000  
 0.070     8.532     2478.   -3.358  5.171  0.114  0.000  
 0.070     8.541     2471.   -3.367  5.175  0.113  0.000  
 0.070     8.550     2464.   -3.376  5.179  0.113  0.000  
 0.070     8.568     2449.   -3.395  5.187  0.112  0.000  
 0.070     8.577     2442.   -3.404  5.191  0.111  0.000  
 0.070     8.586     2434.   -3.413  5.195  0.111  0.000  
 0.070     8.595     2426.   -3.423  5.199  0.110  0.000  
 0.070     8.605     2419.   -3.432  5.203  0.110  0.000  
 0.070     8.614     2411.   -3.441  5.207  0.109  0.000  
 0.070     8.623     2403.   -3.451  5.210  0.109  0.000  
 0.070     8.633     2395.   -3.461  5.214  0.108  0.000  
 0.070     8.642     2386.   -3.471  5.218  0.108  0.000  
 0.070     8.652     2378.   -3.481  5.222  0.107  0.000  
 0.070     8.662     2370.   -3.491  5.226  0.107  0.000  
 0.070     8.672     2361.   -3.501  5.230  0.106  0.000  
 0.070     8.682     2353.   -3.511  5.233  0.106  0.000  
 0.070     8.692     2344.   -3.521  5.237  0.105  0.000  
 0.070     8.702     2335.   -3.531  5.241  0.105  0.000  
 0.070     8.712     2327.   -3.541  5.245  0.104  0.000  
 0.070     8.722     2318.   -3.551  5.248  0.104  0.000  
 0.070     8.732     2309.   -3.562  5.252  0.104  0.000  
 0.070     8.742     2301.   -3.572  5.256  0.103  0.000  
 0.070     8.752     2292.   -3.582  5.259  0.103  0.000  
 0.070     8.762     2283.   -3.592  5.263  0.102  0.000  
 0.070     8.773     2274.   -3.603  5.266  0.102  0.000  
 0.070     8.783     2266.   -3.613  5.270  0.101  0.000  
 0.070     8.793     2257.   -3.623  5.273  0.101  0.000  
 0.070     8.804     2248.   -3.634  5.277  0.101  0.000  
 0.070     8.814     2239.   -3.644  5.280  0.100  0.000  
 0.070     8.825     2230.   -3.654  5.284  0.100  0.000  
 0.070     8.835     2221.   -3.665  5.287  0.099  0.000  
 0.070     8.846     2212.   -3.675  5.291  0.099  0.000  
 0.070     8.856     2203.   -3.686  5.294  0.099  0.000  
 0.070     8.867     2191.   -3.698  5.297  0.098  0.000  
 0.070     8.878     2177.   -3.712  5.300  0.098  0.000  
 0.070     8.889     2164.   -3.726  5.303  0.098  0.000  
 0.070     8.900     2150.   -3.740  5.307  0.097  0.000  
 0.070     8.911     2136.   -3.755  5.310  0.097  0.000  
 0.070     8.922     2122.   -3.769  5.313  0.097  0.000  
 0.070     8.934     2108.   -3.783  5.316  0.096  0.000  
 0.070     8.945     2096.   -3.797  5.319  0.096  0.000  
 0.070     8.957     2086.   -3.808  5.321  0.096  0.000  
 0.070     8.969     2076.   -3.819  5.324  0.095  0.000  
 0.070     8.981     2067.   -3.830  5.327  0.095  0.000  
 0.070     8.993     2057.   -3.841  5.330  0.095  0.000  
 0.070     9.004     2047.   -3.852  5.333  0.094  0.000  
 0.070     9.016     2037.   -3.863  5.336  0.094  0.000  
 0.070     9.028     2027.   -3.874  5.338  0.094  0.000  
 0.070     9.041     2018.   -3.885  5.341  0.093  0.000  
 0.070     9.053     2008.   -3.896  5.344  0.093  0.000  
 0.070     9.065     1988.   -3.917  5.346  0.093  0.000  
 0.070     9.076     1923.   -3.976  5.348  0.093  0.000  
 0.070     9.088     1883.   -4.014  5.350  0.093  0.000  
 0.070     9.099     1859.   -4.038  5.351  0.092  0.000  
 0.070     9.110     1837.   -4.060  5.352  0.092  0.000  
 0.070     9.120     1817.   -4.079  5.353  0.092  0.000  
 0.070     9.131     1800.   -4.097  5.354  0.092  0.000  
 0.070     9.141     1795.   -4.103  5.355  0.092  0.000  
 0.070     9.151     1790.   -4.109  5.356  0.092  0.000  
 0.070     9.160     1785.   -4.114  5.357  0.092  0.000  
 0.070     9.170     1780.   -4.120  5.358  0.092  0.000  
 0.070     9.179     1776.   -4.125  5.359  0.092  0.000  
 0.070     9.188     1771.   -4.130  5.359  0.092  0.000  
 0.070     9.197     1767.   -4.135  5.360  0.091  0.000  
 0.070     9.205     1763.   -4.139  5.361  0.091  0.000  
 0.070     9.214     1759.   -4.144  5.362  0.091  0.000  
 0.070     9.222     1755.   -4.149  5.362  0.091  0.000  
 0.070     9.230     1752.   -4.153  5.363  0.091  0.000  
 0.070     9.238     1748.   -4.157  5.364  0.091  0.000  
 0.070     9.246     1744.   -4.161  5.364  0.091  0.000  
 0.070     9.254     1741.   -4.165  5.365  0.091  0.000  
 0.070     9.262     1738.   -4.169  5.365  0.091  0.000  
 0.070     9.269     1735.   -4.173  5.366  0.091  0.000  
 0.070     9.276     1732.   -4.176  5.366  0.091  0.000  
 0.070     9.284     1729.   -4.180  5.367  0.091  0.000  
 0.070     9.291     1726.   -4.183  5.367  0.091  0.000  
 0.070     9.298     1723.   -4.186  5.368  0.091  0.000  
 0.070     9.305     1720.   -4.190  5.368  0.091  0.000  
 0.070     9.311     1718.   -4.193  5.369  0.091  0.000  
 0.070     9.325     1713.   -4.199  5.370  0.090  0.000  
 0.070     9.331     1710.   -4.201  5.370  0.090  0.000  
 0.070     9.344     1706.   -4.207  5.371  0.090  0.000  
 0.070     9.350     1703.   -4.209  5.371  0.090  0.000  
 0.070     9.362     1698.   -4.215  5.372  0.090  0.000  
 0.070     9.374     1692.   -4.223  5.372  0.090  0.000  
 0.070     9.380     1688.   -4.226  5.373  0.090  0.000  
 0.070     9.391     1683.   -4.233  5.373  0.090  0.000  
 0.070     9.402     1677.   -4.239  5.374  0.090  0.000  
 0.070     9.413     1673.   -4.244  5.374  0.090  0.000  
 0.070     9.423     1668.   -4.249  5.375  0.090  0.000  
 0.070     9.434     1664.   -4.253  5.375  0.090  0.000  
 0.070     9.444     1661.   -4.257  5.375  0.090  0.000  
 0.070     9.453     1658.   -4.261  5.375  0.090  0.000  
 0.070     9.463     1655.   -4.264  5.376  0.090  0.000  
 0.070     9.472     1652.   -4.267  5.376  0.090  0.000  
 0.070     9.482     1650.   -4.270  5.376  0.090  0.000  
 0.070     9.490     1648.   -4.273  5.376  0.090  0.000  
 0.070     9.499     1646.   -4.275  5.377  0.090  0.000  
 0.070     9.512     1643.   -4.278  5.377  0.090  0.000  
 0.070     9.521     1641.   -4.280  5.377  0.090  0.000  
 0.070     9.533     1639.   -4.282  5.377  0.090  0.000  
 0.070     9.541     1638.   -4.283  5.377  0.090  0.000  
 0.070     9.553     1637.   -4.285  5.377  0.090  0.000  
 0.070     9.560     1636.   -4.286  5.377  0.090  0.000  
 0.070     9.571     1634.   -4.288  5.378  0.090  0.000  
 0.070     9.582     1633.   -4.289  5.378  0.090  0.000  
 0.070     9.590     1632.   -4.290  5.378  0.090  0.000  
 0.070     9.600     1632.   -4.291  5.378  0.090  0.000  
 0.070     9.610     1631.   -4.292  5.378  0.090  0.000  
 0.070     9.620     1630.   -4.293  5.378  0.090  0.000  
 0.070     9.630     1630.   -4.293  5.378  0.090  0.000  
 0.070     9.640     1629.   -4.294  5.378  0.090  0.000  
 0.070     9.649     1629.   -4.294  5.378  0.090  0.000  
 0.070     9.661     1628.   -4.295  5.378  0.090  0.000  
 0.070     9.670     1628.   -4.295  5.378  0.090  0.000  
 0.070     9.682     1628.   -4.296  5.378  0.090  0.000  
 0.070     9.690     1627.   -4.296  5.378  0.090  0.000  
 0.070     9.701     1627.   -4.296  5.378  0.090  0.000  
 0.070     9.709     1627.   -4.296  5.378  0.090  0.000  
 0.070     9.720     1627.   -4.296  5.378  0.090  0.000  
 0.070     9.730     1627.   -4.297  5.378  0.090  0.000  
 0.070     9.741     1627.   -4.297  5.378  0.090  0.000  
 0.070     9.750     1627.   -4.297  5.378  0.090  0.000  
 0.070     9.760     1627.   -4.297  5.378  0.090  0.000  
 0.070     9.770     1626.   -4.297  5.378  0.090  0.000  
 0.070     9.781     1626.   -4.297  5.378  0.090  0.000  
 0.070     9.790     1626.   -4.297  5.378  0.090  0.000  
 0.070     9.801     1626.   -4.297  5.378  0.090  0.000  
 0.070     9.810     1626.   -4.297  5.378  0.090  0.000  
 0.070     9.820     1626.   -4.297  5.378  0.090  0.000  
 0.070     9.831     1626.   -4.297  5.378  0.090  0.000  
 0.070     9.841     1626.   -4.297  5.378  0.090  0.000  
 0.070     9.850     1626.   -4.297  5.378  0.090  0.000  
 0.070     9.860     1626.   -4.297  5.378  0.090  0.000  
 0.070     9.869     1626.   -4.297  5.378  0.090  0.000  
 0.070     9.880     1626.   -4.297  5.378  0.090  0.000  
 0.070     9.889     1626.   -4.297  5.378  0.090  0.000  
 0.070     9.900     1626.   -4.297  5.378  0.090  0.000  
 0.070     9.910     1626.   -4.297  5.378  0.090  0.000  
 0.070     9.920     1626.   -4.297  5.378  0.090  0.000  
 0.070     9.930     1626.   -4.297  5.378  0.090  0.000  
 0.070     9.940     1626.   -4.297  5.378  0.090  0.000  
 0.070     9.949     1626.   -4.297  5.378  0.090  0.000  
 0.070     9.960     1626.   -4.297  5.378  0.090  0.000  
 0.070     9.970     1626.   -4.297  5.378  0.090  0.000  
 0.070     9.980     1626.   -4.297  5.378  0.090  0.000  
 0.070     9.990     1626.   -4.297  5.378  0.090  0.000  
 0.070    10.000     1626.   -4.297  5.378  0.090  0.000  
#
#------------------------------------------------------------
# M/Ms    log t(yr)  Teff      L/Ls    g    R/Rs   Li/Li0
#------------------------------------------------------------
 0.072     5.695     2831.   -1.291  3.347  0.942  1.000  
 0.072     5.703     2832.   -1.294  3.352  0.937  1.000  
 0.072     5.712     2834.   -1.298  3.356  0.932  1.000  
 0.072     5.720     2835.   -1.302  3.361  0.927  1.000  
 0.072     5.737     2839.   -1.309  3.371  0.917  1.000  
 0.072     5.745     2840.   -1.313  3.375  0.912  1.000  
 0.072     5.754     2842.   -1.317  3.380  0.907  1.000  
 0.072     5.762     2844.   -1.320  3.385  0.902  1.000  
 0.072     5.771     2846.   -1.324  3.389  0.897  1.000  
 0.072     5.780     2848.   -1.328  3.394  0.892  1.000  
 0.072     5.797     2851.   -1.335  3.404  0.882  1.000  
 0.072     5.806     2853.   -1.338  3.408  0.878  1.000  
